< 10,00 € Schokolade пеіп Verwertung
nicht Ermittelbar 1 Buch nein Aufnahme Bestand Bibliothek
< 25,00 € 1 Kunstdruck ja
< 25,00 € 1 Kalender ја
< 25,00 € 3 FI. Sekt ja
< 25,00  € 1 Buch nein Aufnahme Bestand Bibliothek
ncht Ermittelbar 1 Buch nein Aufnahme Bestand Bibliothek 8
nicht ermittelbar 1 Buch nein Aufnahme Bestand Bibliothek
са. З0,00 € Teller ja (Auflage Spende)
< 25,00 € Schokolade ja
< 25,00 £ Schokolade ja
< 25,00 € 1 BLICh ia
13 Ι< 25,00 € Schokolade ja
< 25,00 € 1 Bierkelch ja
< 25,00 £ Schokolade ja
<25,00€ Sthokolade ја
< 25,00 € CD ja
< 25,00 € Schokoladen-Weihnachtsmann ja
< 25,00 € 1 Buth ја
<25.00€ Lebensmittel ia
< 25,00 € Süßigkeiten ja
22 < 25,00€ Süßigkeiten, Weihnachtsgebäck ia
<25,00€ Kalender, Süßigkeiten _ ја
<25,00€ Kalender, 2 F. Wein ја
< 25,00 € Süßigkeiten, Weihnachtsgebäck ја
< 25,00 €. Kalender, Süßigkeiten ја
< 25,00 € Kalender, 2 F. Wein ја
<25,00 € Süßigkeiten, Weihnachtsgebäck ja
< 25,00 € Kalender, Süßigkeiten ја
< 25,00 €. Kalender 2 FI Wer ја
< 25,00 € Süßigkeiten, Weihnachtsgebäck ја
< 25,00 € Kalender, Süßigkeiten ja
< 25,00 £ Kalender, 2 F. Weir ja
< 25,00 €. Süßigkeiten, Weihnachtsgebäck ја
< 25,00 £ Kalender, Süßigkeiten ja
< 25,00 € Kalender, 2 FI. Wein ja
< 25,00 €. Süßigkeiten, Weihnachtsgebäck F
< 25,00 έ Kalender, Süßigkeiten ja
< 25,00 £ Kalender, 2 F. Wein ja
< 25,00 £ Kålender ја
< 25,00 £ Süßigkeiten, Weihnachtsgebäck 因
< 25,00 £ Kalender, Süßigkeiten ја
< 25,00 €. Süßigkeiten, Weihnachtsgebäck 因
< 25,0O É Kalender, Süßigkeiten ја
< 25,00 € 1 kl. Holzskulptur Teir Verwertung
cã, 35,00 € 1 Kugelschreiber nein Verwertung
< 12,00 € 1 Buch ја _
< 15,00 € kl. Schrein mit Jadestein ПЕіп Verwertung
< 15,00 €. chinesische Briefmarken rein WerWertung
< 25,00 έ 1 Buth TET AufnAHTTE BEStATC Bibliothek |
Ca. 10,00 € 1 F. Wer ја
nicht ermittelbar Bewirtung ja
nicht ermittelbar Bewirtung ја
ca. 10,00 € 1 Hammer mit Namensgravur ja
< 25,00 1 KTHWattE ја
55 ca. 5,00 € 1 Warnweste rein WerWertung
nicht ermittelbar Bewirtung ja
са. 10,00 € 1 F. Wein ја
са. 10,00 € 1 F. Wein ја
< 25,00 BewirtLIrg ja
< 25,00 € 1 Buth rein Aufnahme Bestand Bibliothek
ca. 30,00 £ 1 Ausstellungskatalog flein Aufnahme Bestand Bibliothek
< 25,00 € 1 Buch nein Aufnahme Bestand Bibliothek
nicht ermittelbar Bewirtung ja
ca, 5,00 £ 1 Krawattennadel ja
ca. 5,00 ё 1 Schlüsselanhänger ja
67 са 5,00 е 1 Schlüsselanhänger ја
ca. 5,00 £ 1 Krawattennadel ja
ca. 5,00 ё 1 Schlüsselanhänger ja
< 25,00 € 2 Broschijren nein Aufnahme Bestand Bibliothek
98,00 € 1 Buch nein Aufnahme Bestand Bibliothek
39,90 € 1 Buch ja (Auflage Spende)
< 25,00 € 1 FI, Spirituose ја
nicht ermittelbar Bewirtung ja
< 25,00 € 1 Powerbank-Akku ja
< 25,00 €. Bleistiftbox mit fünf Stiften ja
< 30,00 € 1 Buch nein Aufnahme Bestand Bibliothek
< 10,00 έ 1 kl. Kunstdruck ја
< 10,00 € 1 kl. Kunstdruck ja
< 10,00 € 1 kl. Kunstdruck ja
< 10,00 € 1 kl. Kunstdruck ja
< 10,00 € 1 kl. Kunstdruck ја
< 10,00 € 1 kl. Kunstdruck ja
< 10,00 € 1 kl. Kunstdruck ja
< 10,00 €. 1 kl. Kunstdruck ja
ς 25,00 € kl. Fl. Spirituose, Schokolade ја
< 10,00 € 2 Brotdo Scr ja
< 40,00 € 1 Buch rein Aufnahme Bestand Bibliothek
< 5,00 € Süßigkeiten ja
<5,00 € Süßigkeiten ја
< 5,00 € Süßigkeiten ja
< 5,00 € Süßigkeiten ја
<5,00 € 1 Mauspad ја
nicht ermittelbar Bewirtung ја
< 10,00 € 1 Buch rein Verwertung
ca. 20,00 € Bewirtung ja
nicht ermittelbar Bewirtung ја
nicht ermittelbar Bewirtung ја
